,country,iso_code,SE.XPD.TOTL.GB.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,IT.NET.USER.P2,SP.POP.GROW,SP.POP.TOTL,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,Sputnik V,Sinopharm/Beijing,Johnson&Johnson,Moderna,Sinopharm/Wuhan,Covaxin,CanSino,EpiVacCorona,january_total_vaccinations,february_total_vaccinations,march_total_vaccinations,april_total_vaccinations,may_total_vaccinations,january_daily_vaccinations,february_daily_vaccinations,march_daily_vaccinations,april_daily_vaccinations,may_daily_vaccinations,religiousity%,population,urban_population_percent,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
23,Comoros,COM,19.319275719778886,474071083.24595046,926128492.5185475,695.8246516477465,1372.3819758714938,3.8641396913125,2.3948334230913035,669374.875,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.540056950022631,0.0,0.0,0.0,0.0,0.0,0.0,97,872695,29,7.6,14.6,73.1,59.0,115.8,10.8,0.2,0.9,0.0,87.3,0.0
24,Costa Rica,CRI,21.68380573817662,33581044644.494812,54565820646.118576,7389.975525538299,12114.256015526205,35.0458821109375,1.3312385255553738,4446616.5,1,1,0,0,0,0,0,0,0,0,0,0.9432871345810929,1.9831412512117421,7.533184977807429,16.04975776916356,18.624511432221425,0.032382882036417,0.04885397792183508,0.16338058295864158,0.29913747607711616,0.3634997844702836,79,5102158,80,7.6,74.8,22.1,888.9,1248.5,0.3,1.1,0.8,25.5,100.0,91.0
25,Croatia,HRV,8.776553206973606,50526438225.33112,79326714921.31345,11611.093335624264,18259.36902697862,46.528533210625,-0.18598082390602,4360926.8125,1,1,0,0,0,0,1,0,0,0,0,1.9508773949153795,4.737388735975325,11.619889097497293,21.974682976326836,23.878275980382952,0.05608300523915205,0.09850101896764935,0.194830506867289,0.3168485006328565,0.44766295861774485,70,4100719,58,7.2,78.2,15.4,884.5,1705.2,0.0,3.0,8.1,81.2,100.0,100.0
26,Cyprus,CYP,15.949066308828494,21021818264.971333,24025130437.45222,26293.14826411755,30101.94367653555,47.84559874875,1.3468520978754506,1078597.375,0,1,0,0,0,0,0,0,0,0,0,2.110951735730251,6.301338587757654,10.707213087090098,19.544026483886817,23.808365718521017,0.06682885031215643,0.14370963964225858,0.20238307376884918,0.3150669293878828,0.5330527444275143,75,1208886,67,6.9,42.2,44.9,1634.4,2270.8,1.2,2.0,5.3,84.4,100.0,86.0
27,Czechia,CZE,9.445590019226072,170828267476.1955,273698234598.10614,16410.53465093002,26309.56410066574,55.26183322875,0.18410232264932225,10375668.875,1,1,0,0,0,1,1,0,0,0,0,2.6046347246730237,6.197583921035659,16.061424052934143,29.539524970919434,32.755222623031955,0.07597559302781433,0.12392087323188719,0.2952185007978228,0.4220783837718514,0.5255318539188074,23,10712481,74,7.1,81.9,15.0,1321.6,2484.6,0.0,4.3,8.4,124.5,100.0,100.0
28,Denmark,DNK,15.06864004868727,290762328171.66504,221925326220.33734,52584.71141984378,40104.301041155806,84.08659594250001,0.44223053036534216,5515469.0,1,1,0,0,0,0,1,0,0,0,0,4.693466625717332,10.555559389762896,19.53807770481281,34.39005621331383,37.1874191221889,0.12334669752486209,0.20125542081603215,0.28184132637550857,0.47141598427361514,0.6127259833879133,42,5795780,88,10.4,84.1,13.7,5565.6,5093.0,0.0,4.5,10.3,69.0,100.0,98.0
29,Denmark,DNK,15.06864004868727,290762328171.66504,221925326220.33734,52584.71141984378,40104.301041155806,84.08659594250001,0.44223053036534216,5515469.0,1,1,0,0,0,0,1,0,0,0,0,4.693466625717332,10.555559389762896,19.53807770481281,34.39005621331383,37.1874191221889,0.12334669752486209,0.20125542081603215,0.28184132637550857,0.47141598427361514,0.6127259833879133,42,5795780,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Denmark,DNK,15.06864004868727,290762328171.66504,221925326220.33734,52584.71141984378,40104.301041155806,84.08659594250001,0.44223053036534216,5515469.0,1,1,0,0,0,0,1,0,0,0,0,4.693466625717332,10.555559389762896,19.53807770481281,34.39005621331383,37.1874191221889,0.12334669752486209,0.20125542081603215,0.28184132637550857,0.47141598427361514,0.6127259833879133,42,5795780,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Djibouti,DJI,22.524957418441737,1021112481.548794,2022896340.5864654,1210.807621125918,2412.4921573868055,4.96099921325,1.7029293833847994,833362.75,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0344824104671932,0.0,0.0,0.0,0.0,0.0,0.0,98,990447,79,3.5,45.8,25.8,70.2,122.1,27.8,0.2,0.5,4.4,0.0,0.0
32,Dominican Republic,DOM,11.716674804687495,46548167235.733215,100096930810.34615,4716.146884532974,10164.589915612745,27.705571608,1.3627494557665074,9691378.687499998,1,0,1,0,1,0,0,0,0,0,0,0.0,0.24294477782377982,8.38222980422608,18.128999443895722,20.219198766282247,0.0,0.025164766975664464,0.25184087887683826,0.29533925474419465,0.350357657964489,87,10866667,85,6.2,45.7,44.6,414.2,936.8,0.6,1.6,0.3,0.0,88.0,56.9
